"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"IQD1";"SQD1";"PR1";"DIS1";"PI1";"CP1";"HAB1";"AA1";"IQD2";"PR2";"DIS2";"PI2";"CP2";"HAB2";"AA2";"SN1";"IQD3";"SQD2";"PR3";"PI3";"CP3";"HAB3";"AA3";"SN2";"AT1";"IQD4";"SQD3";"PR4";"DIS3";"CP4";"HAB4";"AA4";"SN3";"AT2";"SI1";"SI2";"SI3";"BI1";"BI2";"BI3";"A201";"A202_01";"A203";"A203_01";"A203_02";"A203_03";"A203_04";"A203_05";"A203_06";"A203_07";"A203_08";"A203_09";"A203_10";"A203_11";"A203_11a";"A204";"A204_11";"A205";"A206";"A207";"A208";"AAI1";"AAI2";"AAI3";"AAI4";"AAI5";"AAI6";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME_SUM";"MAILSENT";"LASTDATA";"STATUS";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
198;;;"base";"interview";2026-06-26 19:45:49;2;6;6;6;6;5;6;7;2;6;3;7;5;5;6;1;2;2;6;6;6;5;5;1;6;4;2;6;1;6;5;6;2;1;5;6;4;5;5;5;1;22;5;2;2;2;1;1;2;1;1;1;2;1;;2;;5;3;5;1;4;7;6;6;3;6;6;139;57;82;82;118;21;37;33;43;501;;2026-06-26 19:56:07;"complete";1;0;10;10;0;0;1,08
200;;;"base";"interview";2026-06-26 19:50:11;3;2;2;2;2;6;5;7;3;2;3;1;6;7;7;5;3;3;2;2;6;6;7;6;6;6;4;2;2;6;7;7;5;1;6;4;4;4;4;4;1;21;2;2;1;2;1;1;1;1;1;1;1;1;;1;;4;4;3;3;5;6;6;4;4;6;82;23;103;79;96;73;28;36;33;33;521;;2026-06-26 20:00:00;"complete";1;0;10;10;0;0;0,88
204;;;"base";"interview";2026-06-26 20:15:21;4;2;6;2;4;4;7;5;2;4;2;2;6;7;6;5;3;6;4;3;6;7;6;5;6;3;4;4;2;6;6;6;2;1;3;3;1;5;5;5;1;52;4;2;1;2;1;1;1;2;1;1;2;1;;1;;4;4;3;1;7;5;4;6;5;6;50;26;67;58;78;61;18;61;34;42;495;;2026-06-26 20:23:36;"complete";1;0;10;10;0;0;0,95
206;;;"base";"interview";2026-06-26 20:40:12;5;3;3;3;2;5;6;6;5;3;4;5;5;5;6;2;3;3;3;3;5;5;5;2;6;3;2;3;2;5;6;5;1;1;3;3;2;3;3;3;1;22;4;2;1;1;1;1;2;1;2;1;1;2;"OpenEvidence";1;;5;5;3;3;6;6;5;5;4;4;23;34;65;67;52;50;27;69;38;42;467;;2026-06-26 20:47:59;"complete";1;0;10;10;0;0;0,98
208;;;"base";"interview";2026-06-26 21:02:19;3;4;6;2;5;5;7;5;2;4;4;5;6;6;5;5;3;3;3;5;5;6;4;5;6;5;6;3;1;5;4;5;3;1;3;3;3;5;5;5;1;27;4;2;2;2;1;2;1;1;1;1;1;1;;1;;5;5;5;1;4;5;6;4;4;5;33;19;41;90;83;130;169;29;23;69;537;;2026-06-26 21:13:45;"complete";1;0;10;10;0;0;0,94
212;;;"base";"interview";2026-06-26 21:03:15;2;2;6;2;6;5;7;6;2;4;2;5;6;6;6;2;2;2;4;6;5;7;5;2;6;4;3;3;1;6;6;3;2;1;4;5;3;5;4;3;1;22;7;2;2;2;2;2;1;1;1;2;2;1;;5;;5;3;5;1;4;5;6;7;3;5;24;23;55;58;70;67;23;37;38;41;436;;2026-06-26 21:10:31;"complete";1;0;10;10;0;0;1,04
214;;;"base";"interview";2026-06-26 22:02:49;3;5;5;5;6;5;7;6;5;3;4;6;6;7;6;3;2;2;3;5;5;7;6;3;6;3;3;3;2;6;7;5;3;1;5;5;3;6;6;6;1;21;6;2;2;2;1;2;1;2;1;2;1;1;;1;;5;5;3;3;5;6;5;5;4;5;19;27;35;37;101;49;18;30;22;49;387;;2026-06-26 22:09:16;"complete";1;0;10;10;0;0;1,29
215;;;"base";"interview";2026-06-26 22:03:17;6;2;6;3;7;5;6;7;2;3;1;6;6;6;7;6;2;2;3;7;6;6;7;5;6;3;2;3;1;5;4;6;3;1;5;5;4;6;6;6;1;22;6;2;2;2;1;2;1;1;1;2;2;1;;1;;5;5;5;3;5;7;7;5;6;7;3;25;128;108;105;228;48;111;37;200;612;;2026-06-26 22:19:51;"complete";1;0;10;10;0;0;0,81
216;;;"base";"interview";2026-06-26 23:03:20;4;3;7;3;3;3;6;5;4;5;3;5;5;5;4;4;3;4;6;3;5;6;4;4;6;4;4;5;3;5;6;5;4;1;4;4;3;4;4;4;2;57;2;2;1;2;1;1;1;1;1;1;1;1;;3;;4;4;3;2;6;6;6;5;5;5;75;81;335;117;212;296;36;282;92;173;536;;2026-06-26 23:31:40;"complete";1;0;10;10;0;0;0,33
219;;;"base";"interview";2026-06-26 23:22:03;1;1;1;6;1;2;1;1;1;1;1;4;1;1;1;1;1;2;5;2;6;1;2;2;6;2;2;5;2;6;6;2;1;1;1;1;1;4;2;2;1;61;2;1;1;1;1;1;1;1;2;1;2;1;;11;"Lumo";4;3;5;2;1;1;2;3;1;1;20;29;48;30;60;57;11;31;27;37;350;;2026-06-26 23:27:53;"complete";1;0;10;10;0;0;1,37
230;;;"base";"interview";2026-06-27 11:07:49;2;5;7;2;6;7;7;6;1;5;2;7;7;5;5;1;2;1;6;7;7;6;3;1;6;2;3;6;1;7;6;1;1;1;2;2;1;7;7;6;1;23;7;2;2;2;1;2;1;1;2;2;2;1;;2;;5;1;5;3;5;6;7;7;5;6;65;37;135;159;150;118;89;51;66;170;675;;2026-06-27 11:25:12;"complete";1;0;10;10;0;0;0,48
233;;;"base";"interview";2026-06-27 11:31:58;6;3;6;5;3;5;7;6;5;6;5;2;5;7;6;4;4;5;6;2;5;6;6;4;6;5;4;6;3;5;6;5;4;1;3;3;2;5;5;5;2;26;4;2;2;2;1;2;1;1;1;1;1;1;;1;;4;4;3;3;4;5;5;5;1;5;4;14;49;54;64;79;17;44;30;32;387;;2026-06-27 11:38:27;"complete";1;0;10;10;0;0;1,41
234;;;"base";"interview";2026-06-27 11:32:22;5;4;6;3;2;4;2;6;3;6;2;3;6;6;6;2;2;3;6;4;2;4;3;2;6;5;2;6;1;5;3;4;2;1;3;3;3;5;5;5;1;23;5;2;2;2;1;2;1;2;1;1;1;1;;1;;3;3;2;1;4;5;4;6;4;5;17;19;88;56;69;68;13;23;39;79;471;;2026-06-27 11:40:14;"complete";1;0;10;10;0;0;1,13
236;;;"base";"interview";2026-06-27 11:35:02;3;2;6;2;5;6;6;5;2;3;2;6;6;6;6;2;3;6;3;2;5;6;6;3;6;6;2;3;2;6;6;5;2;1;2;3;2;6;6;6;2;23;2;2;1;2;1;1;1;1;1;1;1;1;;1;;5;5;4;2;5;6;6;5;3;5;5;25;61;51;65;60;21;29;40;35;392;;2026-06-27 11:41:34;"complete";1;0;10;10;0;0;1,34
237;;;"base";"interview";2026-06-27 11:59:41;5;3;7;3;1;3;6;4;4;5;3;1;5;5;4;2;3;3;4;3;5;5;5;3;6;4;3;5;2;4;7;4;2;1;5;6;4;5;5;5;2;23;3;2;1;1;1;2;1;1;1;2;1;1;;1;;4;3;3;3;4;4;5;5;4;4;16;22;93;76;91;103;20;40;38;43;542;;2026-06-27 12:08:46;"complete";1;0;10;10;0;0;0,93
238;;;"base";"interview";2026-06-27 11:59:54;4;3;4;7;4;5;5;7;4;6;3;6;5;6;6;4;5;6;6;5;6;5;5;7;6;5;4;5;4;6;5;5;5;1;5;5;4;3;4;5;1;24;1;2;1;1;1;1;1;1;1;1;1;1;;1;;5;4;4;2;6;6;7;5;6;5;4;9;64;71;48;40;8;11;32;27;314;;2026-06-27 12:05:11;"complete";1;0;10;10;0;0;1,92
239;;;"base";"interview";2026-06-27 12:56:42;2;5;7;2;4;7;7;7;2;2;2;4;6;3;7;3;2;4;6;5;6;7;5;2;6;2;4;5;1;6;6;6;2;1;5;5;4;6;6;6;1;19;3;2;2;1;1;2;1;1;1;1;1;1;;2;;5;2;3;1;5;7;6;6;4;6;17;21;91;74;87;68;15;43;32;39;487;;2026-06-27 13:04:50;"complete";1;0;10;10;0;0;1,03
240;;;"base";"interview";2026-06-27 13:12:39;5;4;5;3;6;4;6;6;4;3;3;4;5;6;6;3;5;2;4;4;5;6;6;2;6;5;5;3;3;4;6;5;2;1;5;2;1;5;4;5;1;23;3;2;1;1;1;2;1;1;1;1;2;1;;1;;5;5;2;1;5;5;6;6;5;5;29;22;87;101;137;130;40;79;45;119;713;;2026-06-27 13:25:48;"complete";1;0;10;10;0;0;0,64
241;;;"base";"interview";2026-06-27 14:11:09;3;3;6;3;4;5;6;4;3;4;4;2;2;5;4;3;3;5;6;4;5;6;5;3;6;3;4;4;2;4;4;6;2;1;4;4;4;5;5;5;2;22;2;2;1;1;1;2;1;1;1;1;1;1;;1;;1;4;4;3;4;4;7;4;4;5;3;26;71;92;74;70;15;38;40;44;473;;2026-06-27 14:19:02;"complete";1;0;10;10;0;0;1,2
243;;;"base";"interview";2026-06-27 15:13:33;3;2;4;2;3;5;6;3;2;3;3;3;6;6;5;2;3;3;5;5;5;6;4;2;6;5;4;3;2;5;5;4;2;1;3;3;3;5;5;5;1;23;2;2;1;2;1;1;1;1;1;1;1;1;;1;;4;3;5;3;6;6;6;6;6;5;4;17;74;79;83;50;21;46;44;48;466;;2026-06-27 15:21:21;"complete";1;0;10;10;0;0;1,21
248;;;"base";"interview";2026-06-27 17:24:37;5;1;6;5;2;3;6;6;2;3;2;2;4;6;6;2;4;3;3;2;5;6;6;2;6;5;4;3;1;5;6;5;2;1;2;3;2;2;2;2;2;20;3;2;1;1;1;2;1;1;1;2;1;1;;1;;4;4;4;3;5;5;3;4;4;5;63;18;70;80;113;211;15;74;32;60;550;;2026-06-27 17:36:53;"complete";1;0;10;10;0;0;0,81
249;;;"base";"interview";2026-06-27 17:25:13;6;7;6;3;2;5;5;7;5;6;5;2;5;6;7;5;2;2;3;2;5;6;6;5;6;2;4;5;2;5;6;4;2;1;6;5;3;5;5;6;1;23;2;2;1;1;1;2;1;1;1;1;1;1;;1;;5;5;3;3;3;4;4;4;3;5;40;12;57;326;278;60;30;27;26;35;439;;2026-06-27 17:40:04;"complete";1;0;10;10;0;0;1
250;;;"base";"interview";2026-06-27 17:25:57;2;2;6;3;4;5;7;4;1;5;5;4;6;6;6;3;2;2;5;5;6;6;4;2;6;3;3;5;1;6;6;5;2;1;2;2;1;6;5;5;2;20;4;2;1;2;1;2;1;1;1;2;1;1;;3;;5;2;5;3;5;4;4;3;4;5;5;16;58;66;48;136;39;55;35;40;498;;2026-06-27 17:34:15;"complete";1;0;10;10;0;0;1,22
251;;;"base";"interview";2026-06-27 18:14:08;4;2;6;1;1;7;6;4;3;5;3;2;7;6;7;2;4;1;6;1;6;6;7;2;6;5;3;5;2;6;7;4;1;1;4;3;2;3;4;4;2;26;1;2;1;1;1;1;1;1;1;1;1;1;;1;;2;3;3;1;6;5;6;4;4;5;61;28;114;90;78;64;23;99;42;43;642;;2026-06-27 18:24:51;"complete";1;0;10;10;0;0;0,77
254;;;"base";"interview";2026-06-28 08:43:37;2;3;6;5;5;5;4;4;2;6;3;3;3;4;5;3;2;2;6;4;4;4;4;2;6;2;2;6;3;4;6;4;1;1;4;4;4;6;7;7;2;29;3;2;1;1;1;2;1;1;1;1;2;1;;1;;4;4;3;2;4;4;1;4;2;4;4;18;53;62;60;50;12;32;33;36;360;;2026-06-28 08:49:40;"complete";1;0;10;10;0;0;1,47
256;;;"base";"interview";2026-06-28 11:54:58;5;4;3;2;2;1;6;6;5;1;2;3;6;5;2;1;2;1;1;1;6;5;6;1;6;5;5;1;1;6;6;2;1;1;1;1;1;5;6;4;1;23;5;2;1;2;1;2;1;1;1;2;2;1;;1;;5;5;5;3;6;6;7;7;5;4;17;19;124;56;122;146;9;104;31;62;690;;2026-06-28 12:06:29;"complete";1;0;10;10;0;0;0,96
260;;;"base";"interview";2026-06-28 12:01:09;5;5;5;4;7;5;7;7;2;5;6;7;4;7;7;3;6;5;4;7;7;7;7;1;6;5;4;4;1;6;6;7;1;1;7;6;3;3;3;3;1;19;6;2;2;1;1;2;2;1;1;2;2;1;;5;;5;4;5;3;6;7;7;6;7;6;6;17;48;48;61;54;16;42;25;28;345;;2026-06-28 12:06:55;"complete";1;0;10;10;0;0;1,49
263;;;"base";"interview";2026-06-28 12:28:24;6;6;5;3;6;4;7;7;4;4;5;2;5;6;6;7;4;6;4;4;4;7;7;7;6;6;6;4;4;5;6;5;7;1;7;7;7;6;6;6;1;21;4;2;1;2;2;2;1;1;1;1;1;1;;3;;4;1;5;2;3;4;1;4;1;4;23;25;58;48;88;69;11;82;23;50;477;;2026-06-28 12:36:23;"complete";1;0;10;10;0;0;1,09
266;;;"base";"interview";2026-06-28 12:37:35;3;2;4;2;5;6;5;6;1;3;1;6;6;6;3;2;2;3;2;6;6;6;5;2;6;3;2;3;2;6;6;3;2;1;3;3;1;5;5;5;1;19;7;2;2;2;1;2;1;2;1;2;2;1;;2;;3;1;3;3;7;7;7;7;7;6;13;14;42;67;51;52;15;28;26;23;331;;2026-06-28 12:43:06;"complete";1;0;10;10;0;0;1,46
268;;;"base";"interview";2026-06-28 13:03:28;1;5;5;2;6;6;7;6;2;2;1;7;7;6;6;2;1;1;3;7;6;7;3;5;6;5;2;3;2;6;6;2;3;1;2;4;2;7;7;7;1;21;4;2;2;1;1;2;1;1;1;1;2;1;;5;;5;3;5;3;5;5;5;4;3;6;11;22;60;61;66;74;23;46;30;44;437;;2026-06-28 13:10:45;"complete";1;0;10;10;0;0;1,1
269;;;"base";"interview";2026-06-28 13:18:08;3;4;4;6;4;6;6;5;3;4;3;5;6;5;5;2;2;6;4;4;5;6;4;1;6;5;2;5;3;5;6;3;3;1;3;2;1;6;6;5;1;21;5;2;2;1;1;2;1;1;1;2;2;1;;2;;5;1;5;3;4;5;5;6;4;5;7;16;69;53;112;75;15;39;36;41;463;;2026-06-28 13:25:51;"complete";1;0;10;10;0;0;1,23
270;;;"base";"interview";2026-06-28 15:00:17;3;5;6;2;6;1;6;2;6;3;1;4;6;5;2;2;3;6;5;6;6;6;5;5;6;4;4;3;3;6;5;2;3;1;3;3;2;6;6;6;1;22;4;2;2;2;1;2;1;1;1;1;1;1;;2;;4;3;5;3;6;6;5;6;6;6;5;12;44;30;38;52;10;23;19;21;254;;2026-06-28 15:04:32;"complete";1;0;10;10;0;0;2
272;;;"base";"interview";2026-06-28 17:06:00;6;7;7;5;7;6;7;2;2;5;6;5;5;5;2;2;5;5;5;6;6;6;2;1;6;2;2;6;2;6;7;1;2;1;6;5;2;7;7;7;2;24;7;2;2;2;1;2;1;2;1;2;2;1;;2;;4;2;5;3;5;4;7;5;3;4;19;20;71;61;76;63;21;31;36;48;446;;2026-06-28 17:13:27;"complete";1;0;10;10;0;0;1,05
273;;;"base";"interview";2026-06-28 17:17:00;2;5;7;3;5;5;7;6;2;6;1;7;6;6;5;1;1;2;7;6;6;6;2;1;6;2;2;6;3;6;7;2;1;1;3;3;1;2;5;5;1;21;5;2;2;1;1;2;1;1;1;2;2;1;;2;;5;1;5;3;6;7;5;7;4;5;7;22;73;70;79;76;35;74;52;96;584;;2026-06-28 17:26:44;"complete";1;0;10;10;0;0;0,96
274;;;"base";"interview";2026-06-28 17:53:14;3;2;7;2;3;6;4;6;3;7;3;4;7;4;7;4;3;2;7;5;6;6;6;4;6;2;2;7;1;6;7;6;1;1;1;1;1;1;1;1;1;22;3;2;1;2;1;2;1;1;1;1;1;1;;1;;5;5;3;3;4;3;5;3;3;3;30;16;67;65;59;69;18;36;75;53;447;;2026-06-28 18:01:22;"complete";1;0;10;10;0;0;1,01
276;;;"base";"interview";2026-06-28 19:19:27;5;2;7;3;5;6;5;2;3;3;5;5;5;5;6;1;7;4;3;5;5;5;3;3;6;6;4;3;3;5;6;4;1;1;4;3;3;6;5;4;1;23;8;2;2;1;2;2;2;1;2;2;2;1;;2;;5;2;5;3;5;5;5;5;4;4;10;24;49;53;57;50;20;55;28;26;372;;2026-06-28 19:25:40;"complete";1;0;10;10;0;0;1,29
278;;;"base";"interview";2026-06-28 20:00:39;2;6;7;2;7;6;7;4;3;3;2;3;7;4;5;4;1;6;6;6;6;7;5;4;6;1;5;6;6;6;7;4;4;1;4;3;2;7;7;7;1;22;3;2;1;2;1;1;1;1;1;2;1;1;;9;;5;2;5;3;5;6;6;6;5;4;81;25;64;62;104;61;15;49;42;39;478;;2026-06-28 20:09:42;"complete";1;0;10;10;0;0;0,94
279;;;"base";"interview";2026-06-28 22:17:33;2;2;7;6;6;5;7;7;2;6;5;5;4;3;7;6;3;5;4;7;5;7;7;6;6;3;4;6;2;5;6;6;2;1;6;6;6;5;5;5;2;22;4;2;2;1;1;2;1;1;1;1;2;1;;1;;5;5;4;3;5;6;6;6;4;4;21;23;64;74;58;92;13;55;25;28;453;;2026-06-28 22:25:07;"complete";1;0;10;10;0;0;1,12
280;;;"base";"interview";2026-06-29 00:03:18;4;4;6;4;4;3;6;2;3;5;2;3;4;5;5;2;5;5;5;4;5;5;3;4;6;4;5;5;2;5;5;2;2;1;4;4;4;6;6;6;1;22;4;2;2;2;1;1;1;1;2;1;1;1;;2;;5;2;5;3;5;3;5;3;4;3;4;19;42;35;42;42;9;13;27;27;260;;2026-06-29 00:07:40;"complete";1;0;10;10;0;0;1,95
281;;;"base";"interview";2026-06-29 10:11:36;6;2;2;3;2;5;6;6;5;2;3;2;3;7;5;1;5;6;3;2;4;6;6;1;6;3;4;2;1;5;6;6;2;1;6;3;3;5;6;7;2;25;3;2;1;1;1;2;1;1;1;1;2;1;;5;;4;2;4;1;3;4;2;2;3;4;59;38;130;140;115;98;24;72;56;56;788;;2026-06-29 10:24:45;"complete";1;0;10;10;0;0;0,62
282;;;"base";"interview";2026-06-29 11:26:04;5;3;6;2;5;6;5;6;3;5;5;2;6;6;5;2;3;2;5;3;5;6;5;2;6;4;3;5;2;6;6;5;2;1;5;4;4;6;6;6;1;24;2;2;1;1;1;2;1;1;1;1;1;1;;5;;4;2;4;1;6;5;6;5;4;5;15;16;79;57;83;63;19;59;36;35;462;;2026-06-29 11:33:46;"complete";1;0;10;10;0;0;1,07